3569	3569	1.0
3066	3066	1.0
3065	3065	1.0
358	358	1.0
6532	6532	1.0
6329	6329	1.0
6530	6530	1.0
6531	6531	1.0
6863	6863	1.0
3763	3763	1.0
6326	6326	1.0
3762	3762	1.0
6334	6334	1.0
5091	5091	1.0
6529	6529	1.0
5467	5467	1.0
650	650	1.0
5095	5095	1.0
7153	7153	1.0
7150	7150	1.0
5096	5096	1.0
6622	6622	1.0
1545	1545	1.0
4907	4907	1.0
3553	3553	1.0
367	367	1.0
3758	3758	1.0
3757	3757	1.0
6906	6906	1.0
6336	6336	1.0
6337	6337	1.0
3458	3458	1.0
6338	6338	1.0
5465	5465	1.0
3753	3753	1.0
6339	6339	1.0
1950	1950	1.0
762	762	1.0
760	760	1.0
1374	1374	1.0
2939	2939	1.0
5879	5879	1.0
231	231	1.0
3040	3040	1.0
5595	5595	1.0
3785	3785	1.0
3784	3784	1.0
7134	7134	1.0
6833	6833	1.0
779	779	1.0
778	778	1.0
1135	1135	1.0
2908	2908	1.0
774	774	1.0
1133	1133	1.0
2906	2906	1.0
2905	2905	1.0
776	776	1.0
2904	2904	1.0
771	771	1.0
2064	2064	1.0
2903	2903	1.0
387	387	1.0
1244	1244	1.0
6513	6513	1.0
6263	6263	1.0
190	190	1.0
3783	3783	1.0
7124	7124	1.0
240	240	1.0
785	785	1.0
6261	6261	1.0
784	784	1.0
782	782	1.0
2053	2053	1.0
6462	6462	1.0
590	590	1.0
1636	1636	1.0
54205	54205	1.0
2280	2280	1.0
5054	5054	1.0
5053	5053	1.0
9568	9568	1.0
2798	2798	1.0
796	796	1.0
5156	5156	1.0
596	596	1.0
81027	81027	1.0
100	100	1.0
4018	4018	1.0
3416	3416	1.0
5562	5562	1.0
10013	10013	1.0
4803	4803	1.0
1131	1131	1.0
3320	3320	1.0
7421	7421	1.0
1132	1132	1.0
8647	8647	1.0
1129	1129	1.0
1786	1786	1.0
1128	1128	1.0
8654	8654	1.0
5141	5141	1.0
4023	4023	1.0
5142	5142	1.0
3350	3350	1.0
3689	3689	1.0
4835	4835	1.0
3351	3351	1.0
3352	3352	1.0
1385	1385	1.0
476	476	1.0
270	270	1.0
5170	5170	1.0
6548	6548	1.0
185	185	1.0
183	183	1.0
6387	6387	1.0
5340	5340	1.0
5624	5624	1.0
5627	5627	1.0
3737	3737	1.0
23620	23620	1.0
3738	3738	1.0
3736	3736	1.0
5243	5243	1.0
5241	5241	1.0
8858	8858	1.0
7184	7184	1.0
6470	6470	1.0
55869	55869	1.0
55867	55867	1.0
217	217	1.0
18	18	1.0
3741	3741	1.0
6750	6750	1.0
1436	1436	1.0
1816	1816	1.0
1814	1814	1.0
1813	1813	1.0
1812	1812	1.0
1719	1719	1.0
2	2	1.0
1586	1586	1.0
26	26	1.0
150	150	1.0
153	153	1.0
59340	59340	1.0
152	152	1.0
155	155	1.0
5739	5739	1.0
5733	5733	1.0
5731	5731	1.0
3725	3725	1.0
5732	5732	1.0
54106	54106	1.0
6347	6347	1.0
1312	1312	1.0
1728	1728	1.0
151	151	1.0
6865	6865	1.0
41	41	1.0
1725	1725	1.0
40	40	1.0
7067	7067	1.0
4210	4210	1.0
1080	1080	1.0
5743	5743	1.0
5742	5742	1.0
25	25	1.0
1588	1588	1.0
203068	203068	1.0
113	113	1.0
3827	3827	1.0
5914	5914	1.0
8841	8841	1.0
8639	8639	1.0
2475	2475	1.0
3383	3383	1.0
8833	8833	1.0
2677	2677	1.0
10381	10381	1.0
10060	10060	1.0
5328	5328	1.0
3251	3251	1.0
301	301	1.0
5321	5321	1.0
5609	5609	1.0
3815	3815	1.0
834	834	1.0
836	836	1.0
3615	3615	1.0
4543	4543	1.0
4544	4544	1.0
4547	4547	1.0
586	586	1.0
5406	5406	1.0
7384	7384	1.0
134	134	1.0
135	135	1.0
3265	3265	1.0
136	136	1.0
3362	3362	1.0
3363	3363	1.0
1604	1604	1.0
3356	3356	1.0
3358	3358	1.0
3357	3357	1.0
4985	4985	1.0
4050	4050	1.0
4986	4986	1.0
7276	7276	1.0
50632	50632	1.0
2554	2554	1.0
10846	10846	1.0
958	958	1.0
3274	3274	1.0
2550	2550	1.0
146	146	1.0
147	147	1.0
9734	9734	1.0
1401	1401	1.0
8912	8912	1.0
5004	5004	1.0
116443	116443	1.0
22978	22978	1.0
64805	64805	1.0
2147	2147	1.0
5167	5167	1.0
6559	6559	1.0
4306	4306	1.0
6558	6558	1.0
6557	6557	1.0
2641	2641	1.0
7299	7299	1.0
2099	2099	1.0
6565	6565	1.0
3156	3156	1.0
5444	5444	1.0
1621	1621	1.0
5443	5443	1.0
6560	6560	1.0
2155	2155	1.0
5159	5159	1.0
2159	2159	1.0
2158	2158	1.0
4314	4314	1.0
4313	4313	1.0
4318	4318	1.0
3065	3066	0.5990740827788492
6531	6530	0.3044871794871795
3762	3763	1.0
3757	3758	0.2429893197819854
6337	6336	0.29393939393939394
6339	6338	0.6666666666666666
3784	3785	0.19944836267285246
778	779	0.4189055420613469
2905	2906	0.4381448908234623
2903	2904	0.5882973251028807
1132	1131	0.2918618327699524
1128	1129	0.35193692963310624
3352	3351	0.3237996785190892
3738	3737	0.5555555555555556
1812	1813	0.35490558710924847
150	151	0.2465700863195452
152	153	0.17769558534782934
5732	5731	0.4
41	40	0.4365732722770538
5743	5742	0.1572550214791594
